ofi_500ms,ofi_2000ms,vpin,cancel_to_fill,depth_imbalance,micro_price_elasticity,book_slope_delta,bid_ask_spread,target_crash_event
1.4901425,-0.4147929,0.25181508,1.809212,0.026584662,5.3172607e-05,0.0041584256,0.00057674345,0
-1.4084232,1.6276802,0.16292658,1.0137081,0.07419623,-0.00028265605,-0.0024498357,0.00044377125,0
-3.0384934,0.942742,0.12735808,0.6350785,0.19656488,5.484474e-05,0.0011350564,0.0003575252,0
-1.6331482,0.33276775,0.10792051,1.3502792,-0.010063869,4.166125e-05,-0.00020341322,0.0006852278,0
-0.040491674,-3.173133,0.2658036,0.71166253,0.07088636,-0.00029193403,-0.0016563721,0.00051968615,0
2.2153997,0.51410484,0.19074814,1.0795585,-0.0978522,-4.396884e-05,7.8722456e-05,0.00060571224,0
1.0308548,-5.2891207,0.22592671,1.0459671,-0.0176922,0.00022233526,0.003061999,0.00059312803,0
-2.5176525,-0.9276371,0.22650108,1.5902181,0.0020825763,6.28682e-05,-0.00121267,0.00038037935,0
2.4375775,4.06872,0.19423918,1.6014131,0.0861636,-2.9023951e-05,0.0017227912,0.00065380364,0
-0.10747812,4.693931,-0.009579608,1.528761,0.058704708,4.019853e-05,0.0011835216,0.0003012431,0
-0.65901566,1.0713377,0.31823152,0.99269193,-0.03084936,-3.5140872e-07,0.0028308043,0.0005328751,0
-1.5892806,1.5398023,0.2077662,1.587458,-0.02020531,3.4467572e-05,0.0002157837,0.0003536485,0
0.88836086,0.7831658,0.20040907,1.1061652,-0.09153707,1.5870935e-05,0.00031457096,0.00041977226,0
-0.48385713,1.2121526,0.35089487,1.2698312,0.07575504,8.511082e-05,-0.0028375424,0.0004973486,0
0.18069063,7.389726,0.18461113,1.320619,0.046528824,-0.00013373561,0.0032856457,0.0005751933,0
2.3730958,-2.7281623,0.31222355,0.6392596,0.10868571,0.0005380911,-0.0009810727,0.00044337023,0
0.2989541,-1.510427,0.07594693,1.2274252,-0.05623037,0.00019471848,-0.0008388485,0.00065499346,0
-2.3497598,-0.96618456,0.26508138,0.7076543,0.072745994,0.00036142854,-0.0022149666,0.0005184634,0
0.77964836,2.3454685,0.10104394,0.67181736,0.10219416,0.00015939694,0.0015009857,0.0005346448,0
-2.040074,0.6967611,0.2234458,0.91425943,0.23657745,0.00019476659,-0.001382607,0.00056565535,0
-2.924045,2.3612537,0.29268765,0.87172705,0.14633761,0.00018255619,0.0026441202,0.0006896793,0
-0.73616433,-2.2612085,0.12883885,0.8736759,0.04228983,0.0001682304,0.0015533816,0.00058271835,0
0.039005674,4.3606024,0.17882745,2.2880676,0.11256673,-7.143151e-05,-0.001141785,0.00054824725,0
-0.67038834,2.1420014,0.23785901,1.1708684,-0.034679372,-0.00020296944,0.000106970096,0.0005856399,0
0.64228123,-3.7372162,0.21385448,1.3541269,-0.038385745,0.00013074501,0.0011164175,0.00038570297,0
1.0733621,1.6823536,0.2866441,1.6215209,-0.08776694,-8.756501e-05,0.0020300706,0.0005513786,0
1.545143,11.558194,0.24567124,1.6542263,0.14540018,0.00023027825,0.00036946152,0.00057589693,0
-2.3184757,-0.71045583,0.16117091,1.2327497,0.28146586,-0.00027345304,0.0023725203,0.00033872842,0
-1.4157956,3.266852,0.20514241,0.76890206,-0.021530371,0.00023591955,-0.00046073325,0.0005216459,0
0.13671552,-1.9548011,0.3715155,1.4535676,-0.15251426,0.00013729086,-0.00032357292,0.00058524334,0
-2.3775623,-0.3442093,0.24039899,1.5463021,-0.07002964,3.3099754e-05,5.010938e-05,0.00043466708,0
5.296363,1.2149451,0.09912928,1.5671448,0.2622156,0.00030649305,-0.0020387399,0.0004515766,0
3.8007336,-2.1230085,0.23550555,1.5098536,-0.04269305,8.809493e-05,-0.005482535,0.00039756123,0
